Scenario,Trial_ID,Final_Opinion_IG,Final_Trust_DGI,Follow_Ratio_x
Normal,1,-5136188520.159699,-0.9739083761732283,0.013045811913385818
Normal,2,-2861916168.58698,-0.9748852330235432,0.012557383488228381
Normal,3,-2642487968.7357936,-0.9391018022331629,0.03044909888341856
Normal,4,-3788775579.991844,-1.0,0.0
Normal,5,-6953421847.52468,-0.9891077597106007,0.0054461201446996555
Normal,6,-3369362510.5332847,-0.9924137539294191,0.003793123035290428
Normal,7,-333343699.59922534,-0.9813479728779319,0.009326013561034078
Normal,8,-974608506.722208,-0.9792118859736726,0.010394057013163703
Normal,9,-3960513389.5161695,-0.9900139110525398,0.004993044473730122
Normal,10,-2530766629.7581925,-0.9476349935223638,0.026182503238818093
Normal,11,-1193304686.5851243,-0.9885106195450319,0.005744690227484019
Normal,12,-3317056501.344449,-0.9496361924276449,0.025181903786177594
Normal,13,-5554921861.906955,-0.9418989142770096,0.02905054286149522
Normal,14,-5083897889.123601,-0.9785837228179312,0.010708138591034404
Normal,15,-3889644567.982287,-0.946661516099713,0.026669241950143467
Normal,16,-647831981.8382258,-0.9757282765335789,0.012135861733210584
Normal,17,-1637582370.104919,-0.9564788682678053,0.021760565866097356
Normal,18,-7686553640.6426,-0.9741454308872833,0.012927284556358326
Normal,19,-5279726906.519225,-0.9959472027651779,0.0020263986174110554
Normal,20,-3859768298.9151263,-0.9670761545215075,0.01646192273924624
Normal,21,-4880936813.363987,-0.9779266175041621,0.011036691247918933
Normal,22,-747541463.6008706,-0.9396870756031953,0.030156462198402352
Normal,23,-4132221926.741433,-0.9893183690983083,0.0053408154508458525
Normal,24,-545864553.4121023,-0.9576974457427276,0.021151277128636205
Normal,25,-1063070211.8455763,-0.9916745183200487,0.004162740839975655
Normal,26,-6017185754.132263,-1.0,0.0
Normal,27,-2288467904.7911806,-1.0,0.0
Normal,28,-6676589478.573239,-0.937357518470393,0.03132124076480353
Normal,29,-237272391.31125838,-0.9757926765499862,0.012103661725006895
Normal,30,-2822080823.312241,-0.961493559723151,0.019253220138424516
Normal,31,-3347026711.198348,-0.9726647748657361,0.013667612567131974
Normal,32,-1631853976.6559067,-0.988322630804132,0.005838684597934006
Normal,33,-834061124.7015647,-0.9974495306302333,0.001275234684883355
Normal,34,-585954946.2181461,-0.9757699362350484,0.01211503188247582
Normal,35,-727720419.1036651,-0.9619629658442816,0.019018517077859183
Normal,36,-2756946098.149499,-0.9806518109482295,0.009674094525885222
Normal,37,-1772537149.4898381,-0.9800450627645338,0.009977468617733094
Normal,38,-2999704780.556492,-0.9601926285003751,0.019903685749812456
Normal,39,-2527050056.5377426,-0.9973351694218864,0.0013324152890568158
Normal,40,-1808530555.5543556,-0.9849139902415489,0.007543004879225537
