N_majority,Log10_N_majority,Delta_Z,Probability_Weight
10000.0,4.0,82.89306334778566,9.999999999999886e-37
12045.035402587811,4.08080808080808,89.59149270922283,1.2328467394421087e-39
14508.287784959402,4.161616161616162,96.2899220706601,1.519911082952926e-42
17475.28400007683,4.242424242424242,102.9883514320973,1.8738174228604077e-45
21049.04144512022,4.3232323232323235,109.68678079353457,2.310129700083098e-48
25353.644939701113,4.404040404040404,116.38521015497176,2.848035868435816e-51
30538.555088334124,4.484848484848484,123.08363951640897,3.51119173421521e-54
36783.79771828634,4.565656565656566,129.7820688778462,4.3287612810831074e-57
44306.21457583878,4.646464646464646,136.48049823928343,5.336699231206311e-60
53366.99231206313,4.7272727272727275,143.1789276007207,6.579332246575424e-63
64280.73117284319,4.808080808080808,149.87735696215788,8.111308307896926e-66
77426.36826811278,4.888888888888889,156.57578632359514,9.999999999999675e-69
93260.334688322,4.96969696969697,163.27421568503235,1.2328467394420477e-71
112332.40329780265,5.05050505050505,169.97264504646952,1.5199110829529805e-74
135304.77745798076,5.1313131313131315,176.6710744079068,1.8738174228603678e-77
162975.08346206436,5.212121212121212,183.369503769344,2.31012970008318e-80
196304.06500402724,5.292929292929293,190.06793313078126,2.8480358684357148e-83
236448.9412645407,5.373737373737374,196.76636249221846,3.511191734215085e-86
284803.5868435805,5.454545454545455,203.46479185365573,4.3287612810828316e-89
343046.9286314919,5.5353535353535355,210.1632212150929,5.336699231206274e-92
413201.24001153343,5.616161616161616,216.86165057653008,6.579332246575939e-95
497702.35643321136,5.696969696969697,223.56007993796737,8.11130830789664e-98
599484.2503189408,5.777777777777778,230.25850929940455,1.0000000000000174e-100
722080.9018385471,5.858585858585859,236.95693866084181,1.232846739442039e-103
869749.0026177834,5.9393939393939394,243.65536802227902,1.5199110829529267e-106
1047615.7527896662,6.020202020202021,250.35379738371628,1.8738174228603016e-109
1261856.8830660211,6.101010101010101,257.05222674515346,2.3101297000831644e-112
1519911.0829529332,6.181818181818182,263.75065610659067,2.8480358684358568e-115
1830738.2802953697,6.262626262626263,270.44908546802793,3.511191734215061e-118
2205130.739903046,6.343434343434343,277.14751482946514,4.328761281083048e-121
2656087.782946684,6.424242424242424,283.84594419090234,5.3366992312063895e-124
3199267.1377973845,6.505050505050505,290.5443735523396,6.579332246575519e-127
3853528.593710535,6.5858585858585865,297.2428029137768,8.111308307896815e-130
4641588.833612782,6.666666666666667,303.941232275214,1.0000000000000105e-132
5590810.182512223,6.747474747474747,310.6396616366512,1.2328467394421006e-135
6734150.657750828,6.828282828282829,317.3380909980885,1.5199110829529163e-138
8111308.307896872,6.909090909090909,324.0365203595257,1.8738174228603952e-141
9770099.572992247,6.98989898989899,330.7349497209629,2.3101297000832137e-144
11768119.524349991,7.070707070707071,337.43337908240017,2.848035868435756e-147
14174741.629268076,7.151515151515152,344.13180844383743,3.511191734214937e-150
17073526.47470692,7.232323232323233,350.83023780527463,4.3287612810828944e-153
20565123.083486516,7.313131313131313,357.5286671667118,5.336699231206504e-156
24770763.55991714,7.3939393939393945,364.2270965281491,6.579332246575286e-159
29836472.402833402,7.474747474747475,370.92552588958625,8.111308307896988e-162
35938136.63804626,7.555555555555555,377.62395525102346,1.000000000000032e-164
